Id,UnlockLevel,ItemCategory,IsUnique,ItemGameMode,ItemType,ItemId,ItemSubId,ItemGrade,ItemTag,ItemCount,Time
1,1,name_category_spellbook,False,Main,SpellBook,0,0,0,,50,86400
2,5,name_category_spellbook,False,Main,SpellBook,0,0,0,,250,259200
3,15,name_category_spellbook,True,Main,SpellBook,0,0,0,,750,518400
10,1,name_category_spellbook,False,Main,Gacha,0,0,0,item_rare,1,43200
20,3,name_category_spellbook,False,Main,Gacha,0,0,0,item_heroic,1,86400
50,2,name_category_clock,False,0,MagicClock,0,0,0,,3,28800
51,2,name_category_clock,False,0,MagicClock,0,0,0,,3,28800
52,6,name_category_clock,False,0,MagicClock,0,0,0,,15,86400
53,6,name_category_clock,False,0,MagicClock,0,0,0,,15,86400
55,17,name_category_clock,False,0,MagicClock,0,0,0,,45,172800
56,17,name_category_clock,False,0,MagicClock,0,0,0,,45,172800
54,5,name_category_clock,False,0,MagicClock,1,0,0,,1,86400
57,17,name_category_clock,True,0,MagicClock,1,0,0,,5,259200
30,3,name_category_blessing,False,0,Blessing,0,0,0,,1,64800
31,3,name_category_blessing,False,0,Blessing,0,0,0,,1,64800
32,7,name_category_blessing,False,0,Blessing,0,0,0,,5,194400
33,7,name_category_blessing,False,0,Blessing,0,0,0,,5,194400
34,18,name_category_blessing,False,0,Blessing,0,0,0,,15,388800
35,18,name_category_blessing,False,0,Blessing,0,0,0,,15,388800
40,6,name_category_blessing,False,0,ExStar,0,0,0,,1,129600
41,9,name_category_blessing,False,0,ExStar,0,0,0,,5,388800
42,19,name_category_blessing,False,0,ExStar,0,0,0,,15,777600
60,10,name_category_map,False,0,Map,0,0,0,,5,43200
61,12,name_category_map,False,0,Map,0,0,0,,25,129600
63,20,name_category_map,False,0,Map,0,0,0,,75,259200
62,10,name_category_map,False,0,Map,1,0,0,,1,129600
64,20,name_category_map,True,0,Map,1,0,0,,5,388800
120,17,name_category_scroll,False,0,Scroll,0,0,0,,3,108000
121,19,name_category_scroll,False,0,Scroll,0,0,0,,15,324000
122,24,name_category_scroll,False,0,Scroll,0,0,0,,45,648000
123,17,name_category_scroll,False,0,Scroll,1,0,0,,1,324000
124,24,name_category_scroll,True,0,Scroll,1,0,0,,5,972000
90,13,name_category_prismstone,False,Main,PrismStone,0,0,0,,1,172800
91,15,name_category_prismstone,False,Main,PrismStone,0,0,0,,5,518400
92,22,name_category_prismstone,False,Main,PrismStone,0,0,0,,15,1036800
100,15,name_category_prismstone,True,0,PrismTicket,0,0,0,,3,432000
130,20,name_category_prismstone,False,Main,PrismCube,0,0,0,,1,324000
131,22,name_category_prismstone,False,Main,PrismCube,0,0,0,,5,972000
70,12,name_category_ruinshard,False,0,RuinShard,0,0,0,,10,86400
71,14,name_category_ruinshard,False,0,RuinShard,0,0,0,,50,259200
72,21,name_category_ruinshard,False,0,RuinShard,0,0,0,,150,518400
80,13,name_category_ruinshard,False,0,RuinStone,0,0,0,,1,172800
81,15,name_category_ruinshard,False,0,RuinStone,0,0,0,,5,518400
82,22,name_category_ruinshard,False,0,RuinStone,0,0,0,,15,1036800
160,14,name_category_dstar,False,0,DShard,0,0,0,,25,108000
161,16,name_category_dstar,False,0,DShard,0,0,0,,125,324000
162,22,name_category_dstar,False,0,DShard,0,0,0,,375,648000
110,16,name_category_dstar,False,0,DStar,0,0,0,,1,216000
111,18,name_category_dstar,False,0,DStar,0,0,0,,5,648000
112,23,name_category_dstar,False,0,DStar,0,0,0,,15,1296000
140,20,name_category_collapse,False,0,CollapseShard,0,0,0,,10,129600
141,22,name_category_collapse,False,0,CollapseShard,0,0,0,,50,388800
150,23,name_category_collapse,False,0,CollapseStone,0,0,0,,2,432000
151,25,name_category_collapse,False,0,CollapseStone,0,0,0,,10,1296000
