RewardId,ItemGameMode,ItemType,ItemId,ItemSubId,ItemGrade,ItemTag,PaidAmount,FreeAmount
rw_pr_ms_default,0,Gem,0,0,0,,,
rw_pr_ms_total,0,Gem,0,0,0,,,
rw_pr_ms_total,0,Mileage,0,0,0,,,
rw_pr_ms_ads,0,Membership,0,0,0,ms_ads,,
rw_pr_ms_ads,0,Gem,0,0,0,,,
rw_pr_ms_booster,0,Membership,0,0,0,ms_booster,,
rw_pr_ms_booster,0,Gem,0,0,0,,,
rw_pr_ms_mission,0,Membership,0,0,0,ms_mission,,
rw_pr_ms_mission,0,Gem,0,0,0,,,
rw_pr_ms_power,0,Membership,0,0,0,ms_power,,
rw_pr_ms_power,0,Gem,0,0,0,,,
rw_pr_ms_soul,0,Membership,0,0,0,ms_soul,,
rw_pr_ms_soul,0,Gem,0,0,0,,,
rw_pr_ms_science,0,Membership,0,0,0,ms_science,,
rw_pr_ms_science,0,Gem,0,0,0,,,
rw_pr_ms_quantum,0,Membership,0,0,0,ms_quantum,,
rw_pr_ms_quantum,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic,0,Membership,0,0,0,rank_pass_epic,,
rw_pr_rank_pass_epic,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic_2,0,Membership,0,0,0,rank_pass_epic_2,,
rw_pr_rank_pass_epic_2,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic_3,0,Membership,0,0,0,rank_pass_epic_3,,
rw_pr_rank_pass_epic_3,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic_4,0,Membership,0,0,0,rank_pass_epic_4,,
rw_pr_rank_pass_epic_4,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic_5,0,Membership,0,0,0,rank_pass_epic_5,,
rw_pr_rank_pass_epic_5,0,Gem,0,0,0,,,
rw_pr_rank_pass_epic_6,0,Membership,0,0,0,rank_pass_epic_6,,
rw_pr_rank_pass_epic_6,0,Gem,0,0,0,,,
rw_pr_field_pass_epic,0,Membership,0,0,0,field_pass_epic,,
rw_pr_field_pass_epic,0,Gem,0,0,0,,,
rw_pr_field_pass_epic_2,0,Membership,0,0,0,field_pass_epic_2,,
rw_pr_field_pass_epic_2,0,Gem,0,0,0,,,
rw_pr_field_pass_epic_3,0,Membership,0,0,0,field_pass_epic_3,,
rw_pr_field_pass_epic_3,0,Gem,0,0,0,,,
rw_pr_field_pass_epic_4,0,Membership,0,0,0,field_pass_epic_4,,
rw_pr_field_pass_epic_4,0,Gem,0,0,0,,,
rw_pr_field_pass_epic_5,0,Membership,0,0,0,field_pass_epic_5,,
rw_pr_field_pass_epic_5,0,Gem,0,0,0,,,
rw_pr_field_pass_epic_6,0,Membership,0,0,0,field_pass_epic_6,,
rw_pr_field_pass_epic_6,0,Gem,0,0,0,,,
rw_pr_gem_free,0,Gem,0,0,0,,,
rw_pr_gem_ads,0,Gem,0,0,0,,,
rw_pr_gem_1,0,Gem,0,0,0,,,
rw_pr_gem_2,0,Gem,0,0,0,,,
rw_pr_gem_3,0,Gem,0,0,0,,,
rw_pr_gem_4,0,Gem,0,0,0,,,
rw_pr_gem_5,0,Gem,0,0,0,,,
rw_pr_main_spell_book_ads,Main,SpellBook,0,0,0,,,
rw_pr_main_spell_book_1,Main,SpellBook,0,0,0,,,
rw_pr_main_spell_book_2,Main,SpellBook,0,0,0,,,
rw_pr_clock_1,0,MagicClock,0,0,0,,,
rw_pr_clock_2,0,MagicClock,0,0,0,,,
rw_pr_clock_gold_1,0,MagicClock,1,0,0,,,
rw_pr_main_super_basic_1,0,Gem,0,0,0,,,
rw_pr_main_super_basic_1,Main,Card,6013,0,Superior,,,
rw_pr_main_super_basic_2,0,Gem,0,0,0,,,
rw_pr_main_super_basic_2,Main,Card,6011,0,Superior,,,
rw_pr_main_super_basic_2,Main,SpellBook,0,0,0,,,
rw_pr_main_super_basic_3,0,Gem,0,0,0,,,
rw_pr_main_super_basic_3,Main,Card,6023,0,Rare,,,
rw_pr_main_super_basic_3,Main,SpellBook,0,0,0,,,
rw_pr_main_super_basic_1_ios,0,Gem,0,0,0,,,
rw_pr_main_super_basic_1_ios,Main,Card,6013,0,Superior,,,
rw_pr_main_super_basic_2_ios,0,Gem,0,0,0,,,
rw_pr_main_super_basic_2_ios,Main,Card,6011,0,Superior,,,
rw_pr_main_super_basic_2_ios,Main,SpellBook,0,0,0,,,
rw_pr_main_super_basic_3_ios,0,Gem,0,0,0,,,
